setup,bild,keypoint,distance
lt-i,1,Nase,1.2815345113943155
lt-i,1,L_Auge,1.7257652980555225
lt-i,1,R_Auge,2.241931759498026
lt-i,1,L_Ohr,1.7204576157015046
lt-i,1,R_Ohr,0.5496194744004808
lt-i,1,L_Schulter,0.49953657156600867
lt-i,1,R_Schulter,0.6142919200451843
lt-i,1,L_Ellbogen,1.6037334638004708
lt-i,1,R_Ellbogen,0.5478476244061442
lt-i,1,L_Handgelenk,2.6034607663677893
lt-i,1,R_Handgelenk,0.5438647563685871
lt-i,1,L_Hüfte,1.654311165978722
lt-i,1,R_Hüfte,1.2297479900741493
lt-i,1,L_Knie,0.9811264642528372
lt-i,1,R_Knie,1.012488256077448
lt-i,1,L_Knöchel,0.3745434508736587
lt-i,1,R_Knöchel,0.532242048545713
lt-l,1,Nase,2.865692530276327
lt-l,1,L_Auge,3.4329181506382365
lt-l,1,R_Auge,4.158067621466857
lt-l,1,L_Ohr,3.423145353170944
lt-l,1,R_Ohr,3.413272616033385
lt-l,1,L_Schulter,0.98049549562981
lt-l,1,R_Schulter,1.1975810706564238
lt-l,1,L_Ellbogen,3.210293812634718
lt-l,1,R_Ellbogen,1.1168651358891604
lt-l,1,L_Handgelenk,5.198210611123507
lt-l,1,R_Handgelenk,1.1161846240597424
lt-l,1,L_Hüfte,1.4161137362724674
lt-l,1,R_Hüfte,2.4900628554682043
lt-l,1,L_Knie,1.1387598808618449
lt-l,1,R_Knie,2.0692432596688186
lt-l,1,L_Knöchel,0.7043359549009626
lt-l,1,R_Knöchel,1.0119866827364015
lt-lm,1,Nase,2.4790248961899173
lt-lm,1,L_Auge,1.6984043410820753
lt-lm,1,R_Auge,2.227485927262253
lt-lm,1,L_Ohr,1.693756462357946
lt-lm,1,R_Ohr,3.051011660852603
lt-lm,1,L_Schulter,0.47393949232365123
lt-lm,1,R_Schulter,0.5786764870677045
lt-lm,1,L_Ellbogen,1.607504026786498
lt-lm,1,R_Ellbogen,0.5662706480051672
lt-lm,1,L_Handgelenk,2.597156655439757
lt-lm,1,R_Handgelenk,0.569780529679665
lt-lm,1,L_Hüfte,2.4149362335495224
lt-lm,1,R_Hüfte,1.2602587095196975
lt-lm,1,L_Knie,1.8853028572458443
lt-lm,1,R_Knie,1.0525674440380512
lt-lm,1,L_Knöchel,0.32939727322267337
lt-lm,1,R_Knöchel,0.48210500047869126
pc-i,1,Nase,1.2878061364747146
pc-i,1,L_Auge,1.7316768119455703
pc-i,1,R_Auge,2.2490805761613855
pc-i,1,L_Ohr,1.7266197653290625
pc-i,1,R_Ohr,0.5532442216868074
pc-i,1,L_Schulter,0.5039135664812275
pc-i,1,R_Schulter,0.6152706300600769
pc-i,1,L_Ellbogen,1.6022978245994992
pc-i,1,R_Ellbogen,0.5521783022671474
pc-i,1,L_Handgelenk,2.5994764022596066
pc-i,1,R_Handgelenk,0.5486083101703111
pc-i,1,L_Hüfte,1.651118794466347
pc-i,1,R_Hüfte,1.2338854789370948
pc-i,1,L_Knie,0.9730772599808082
pc-i,1,R_Knie,1.0217157683393925
pc-i,1,L_Knöchel,0.3703803272217599
pc-i,1,R_Knöchel,0.5247495348975095
pc-l,1,Nase,2.8574218426694635
pc-l,1,L_Auge,3.42393762975074
pc-l,1,R_Auge,5.15444479901271
pc-l,1,L_Ohr,3.414147961109692
pc-l,1,R_Ohr,3.410967392276579
