code,input,run,frame_count,avg_latency,min_latency,max_latency,std_latency,avg_fps
lt-i,Video1.mp4,1,74,0.6051,0.4764,0.7743,0.0869,1.65
lt-i,Video1.mp4,2,74,0.643,0.6203,0.7061,0.0166,1.56
lt-i,Video1.mp4,3,74,0.6483,0.6176,0.6962,0.0172,1.54
lt-i,Video1.mp4,4,74,0.654,0.6277,0.7186,0.0165,1.53
lt-i,Video1.mp4,5,74,0.67,0.6246,0.8455,0.0401,1.49
lt-i,Video1.mp4,6,74,0.6721,0.6091,0.9429,0.0446,1.49
lt-i,Video1.mp4,7,74,0.6755,0.622,0.8188,0.0512,1.48
lt-i,Video1.mp4,8,74,0.6717,0.6244,0.756,0.0258,1.49
lt-i,Video1.mp4,9,74,0.6753,0.6269,0.8295,0.0399,1.48
lt-i,Video1.mp4,10,74,0.7223,0.6505,0.8071,0.0355,1.38
lt-i,Video1.mp4,11,74,0.6957,0.6283,0.8318,0.0454,1.44
lt-i,Video1.mp4,12,74,0.6793,0.6141,0.8422,0.051,1.47
lt-i,Video1.mp4,13,74,0.6555,0.6212,0.727,0.0244,1.53
lt-i,Video1.mp4,14,74,0.6561,0.6169,0.766,0.0265,1.52
lt-i,Video1.mp4,15,74,0.6536,0.6193,0.7289,0.028,1.53
lt-i,Video1.mp4,16,74,0.6946,0.6171,1.1615,0.0896,1.44
lt-i,Video1.mp4,17,74,0.6536,0.6219,0.7414,0.0246,1.53
lt-i,Video1.mp4,18,74,0.7063,0.6268,1.3056,0.1033,1.42
lt-i,Video1.mp4,19,74,0.704,0.6299,1.091,0.077,1.42
lt-i,Video1.mp4,1,74,0.6414,0.4543,0.8653,0.0913,1.56
lt-i,Video1.mp4,2,74,0.6558,0.6073,0.7316,0.0255,1.52
lt-i,Video1.mp4,3,74,0.6666,0.6251,0.8225,0.0398,1.5
lt-i,Video1.mp4,4,74,0.6444,0.6048,0.7215,0.0205,1.55
lt-i,Video1.mp4,5,74,0.6446,0.6037,0.7809,0.031,1.55
lt-i,Video1.mp4,6,74,0.6443,0.6058,0.7517,0.0278,1.55
lt-i,Video1.mp4,7,74,0.7273,0.61,1.0631,0.1067,1.37
lt-i,Video1.mp4,8,74,0.6985,0.6304,0.9035,0.0501,1.43
lt-i,Video1.mp4,9,74,0.7252,0.6435,1.0933,0.0802,1.38
lt-i,Video1.mp4,10,74,0.7079,0.633,0.9592,0.059,1.41
lt-i,Video1.mp4,11,74,0.6622,0.6209,0.8528,0.0434,1.51
lt-i,Video2.mp4,1,61,0.635,0.5016,0.7468,0.0753,1.57
lt-i,Video2.mp4,2,61,0.716,0.6636,0.8688,0.0539,1.4
lt-i,Video2.mp4,3,61,0.7086,0.6668,0.7912,0.0265,1.41
lt-i,Video2.mp4,4,61,0.7048,0.6618,0.7457,0.0211,1.42
lt-i,Video2.mp4,5,61,0.7033,0.6526,0.7571,0.0235,1.42
lt-i,Video2.mp4,6,61,0.723,0.6688,0.888,0.0486,1.38
lt-i,Video2.mp4,7,61,0.7077,0.6467,0.8141,0.0317,1.41
lt-i,Video2.mp4,8,61,0.7072,0.6619,0.8451,0.0294,1.41
lt-i,Video2.mp4,9,61,0.7164,0.6628,0.9348,0.044,1.4
lt-i,Video2.mp4,10,61,0.7383,0.6731,0.835,0.0411,1.35
lt-i,Video2.mp4,11,61,0.7173,0.6659,0.8478,0.0368,1.39
lt-i,Video2.mp4,12,61,0.7038,0.6691,0.8007,0.0276,1.42
lt-i,Video2.mp4,13,61,0.7264,0.6547,0.9684,0.0624,1.38
lt-i,Video2.mp4,14,61,0.7232,0.6638,1.1178,0.0609,1.38
lt-i,Video2.mp4,15,61,0.7069,0.6733,0.7925,0.0246,1.41
lt-i,Video2.mp4,16,61,0.7054,0.6664,0.8209,0.0278,1.42
lt-i,Video2.mp4,17,61,0.7357,0.6628,0.8671,0.0463,1.36
lt-i,Video2.mp4,18,61,0.7092,0.6626,0.7999,0.0332,1.41
lt-i,Video2.mp4,19,61,0.7221,0.6615,0.836,0.0349,1.38
lt-i,Video2.mp4,20,61,0.7212,0.6764,0.8335,0.0329,1.39
lt-i,Video2.mp4,21,61,0.7977,0.685,1.495,0.1416,1.25
lt-i,Video2.mp4,22,61,0.7457,0.6875,0.8575,0.0382,1.34
lt-i,Video2.mp4,23,61,0.7214,0.6753,0.8182,0.0302,1.39
lt-i,Video2.mp4,24,61,0.7202,0.6788,0.8133,0.0308,1.39
lt-i,Video2.mp4,25,61,0.7373,0.6878,0.821,0.0363,1.36
lt-i,Video2.mp4,26,61,0.7324,0.6777,0.8176,0.0311,1.37
lt-i,Video2.mp4,27,61,0.7226,0.6912,0.7906,0.023,1.38
lt-i,Video2.mp4,28,61,0.7289,0.6747,0.9481,0.0429,1.37
lt-i,Video2.mp4,29,61,0.7235,0.6546,0.8624,0.0426,1.38
lt-i,Video2.mp4,30,61,0.7191,0.675,0.8151,0.0288,1.39
lt-i,Video3.mp4,1,97,0.6476,0.4998,0.7594,0.0567,1.54
lt-i,Video3.mp4,2,97,0.6925,0.6364,0.9511,0.0414,1.44
lt-i,Video3.mp4,3,97,0.7013,0.6438,0.8972,0.0412,1.43
lt-i,Video3.mp4,4,97,0.6881,0.64,0.802,0.0343,1.45
lt-i,Video3.mp4,5,97,0.6896,0.6431,0.7782,0.029,1.45
lt-i,Video3.mp4,6,97,0.697,0.6475,0.8141,0.0382,1.43
lt-i,Video3.mp4,7,97,0.6903,0.6525,0.8108,0.0262,1.45
lt-i,Video3.mp4,8,97,0.7018,0.6421,0.8472,0.0434,1.42
lt-i,Video3.mp4,9,97,0.6911,0.6348,0.7674,0.0285,1.45
lt-i,Video3.mp4,10,97,0.6877,0.6458,0.7926,0.0255,1.45
lt-i,Video3.mp4,11,97,0.6952,0.6496,0.9838,0.0446,1.44
lt-i,Video3.mp4,12,97,0.6812,0.6446,0.7672,0.0216,1.47
lt-i,Video3.mp4,13,97,0.6884,0.6514,0.7575,0.0252,1.45
lt-i,Video3.mp4,14,97,0.6843,0.6347,0.8517,0.0337,1.46
lt-i,Video3.mp4,15,97,0.6796,0.6368,0.8447,0.0354,1.47
