code,input,run,frame_count,avg_latency,min_latency,max_latency,std_latency,avg_fps,avg_det,avg_pose,avg_vis
lt-l,Video1,1,74,0.0771,0.0538,0.1146,0.0133,12.98,0.0408,0.0348,0.0012
lt-l,Video1,2,74,0.0864,0.0628,0.1807,0.0188,11.57,0.0443,0.0406,0.0012
lt-l,Video1,3,74,0.091,0.0648,0.147,0.0125,10.99,0.0478,0.0415,0.0015
lt-l,Video1,4,74,0.0921,0.0681,0.23,0.0208,10.86,0.0493,0.041,0.0015
lt-l,Video1,5,74,0.0898,0.0683,0.2128,0.0195,11.13,0.0477,0.0405,0.0014
lt-l,Video1,6,74,0.0915,0.0675,0.3028,0.0285,10.93,0.0492,0.0407,0.0014
lt-l,Video1,7,74,0.0918,0.0695,0.1652,0.0167,10.89,0.0478,0.0423,0.0014
lt-l,Video1,8,74,0.0889,0.0639,0.1869,0.0171,11.25,0.0455,0.0416,0.0015
lt-l,Video1,9,74,0.0933,0.0673,0.2043,0.0206,10.72,0.0486,0.043,0.0014
lt-l,Video1,10,74,0.0929,0.0646,0.27,0.0241,10.77,0.0501,0.041,0.0015
lt-l,Video1,11,74,0.0903,0.0651,0.1634,0.0195,11.07,0.0476,0.041,0.0015
lt-l,Video1,12,74,0.0914,0.0637,0.2024,0.0191,10.94,0.0481,0.0413,0.0017
lt-l,Video1,13,74,0.091,0.065,0.2104,0.018,10.98,0.0477,0.0416,0.0014
lt-l,Video1,14,74,0.0929,0.0746,0.2017,0.0195,10.77,0.0497,0.0416,0.0014
lt-l,Video1,15,74,0.0896,0.0678,0.2625,0.0238,11.16,0.0466,0.0414,0.0014
lt-l,Video1,16,74,0.0894,0.064,0.2021,0.0173,11.19,0.0474,0.0404,0.0014
lt-l,Video1,17,74,0.0933,0.0694,0.1705,0.0163,10.72,0.0492,0.0424,0.0014
lt-l,Video1,18,74,0.0913,0.0686,0.1799,0.0148,10.95,0.0481,0.0415,0.0015
lt-l,Video1,19,74,0.0917,0.0623,0.2519,0.0229,10.9,0.0505,0.0396,0.0014
lt-l,Video1,20,74,0.0956,0.0662,0.1754,0.016,10.46,0.0502,0.0437,0.0014
lt-l,Video1,21,74,0.0933,0.0698,0.183,0.0162,10.71,0.0498,0.0419,0.0014
lt-l,Video1,22,74,0.0926,0.0741,0.1905,0.0171,10.8,0.0484,0.0424,0.0015
lt-l,Video1,23,74,0.1031,0.0716,0.2657,0.0232,9.7,0.0559,0.0454,0.0014
lt-l,Video1,24,74,0.089,0.0651,0.1987,0.0181,11.23,0.0467,0.0407,0.0014
lt-l,Video1,25,74,0.0906,0.0671,0.1681,0.0176,11.03,0.0486,0.0404,0.0013
lt-l,Video1,26,74,0.0914,0.0617,0.1681,0.0155,10.94,0.0487,0.0411,0.0014
lt-l,Video1,27,74,0.0925,0.0648,0.1944,0.0206,10.81,0.0489,0.0419,0.0014
lt-l,Video1,28,74,0.0905,0.0685,0.1751,0.0158,11.05,0.0475,0.0412,0.0015
lt-l,Video1,29,74,0.0952,0.066,0.1532,0.0172,10.51,0.0499,0.0434,0.0017
lt-l,Video1,30,74,0.0929,0.0693,0.2214,0.0191,10.77,0.0499,0.0412,0.0015
lt-l,Video2,1,61,0.0765,0.0477,0.1252,0.017,13.08,0.0349,0.0399,0.0014
lt-l,Video2,2,61,0.0993,0.0652,0.1889,0.0193,10.07,0.0466,0.0509,0.0015
lt-l,Video2,3,61,0.0834,0.0565,0.1515,0.0167,11.99,0.0395,0.0422,0.0014
lt-l,Video2,4,61,0.0984,0.0682,0.1512,0.02,10.17,0.0454,0.051,0.0016
lt-l,Video2,5,61,0.1044,0.0731,0.2181,0.025,9.58,0.0498,0.0525,0.0017
lt-l,Video2,6,61,0.1055,0.0737,0.2541,0.0311,9.48,0.0511,0.0523,0.0017
lt-l,Video2,7,61,0.1052,0.0669,0.325,0.0339,9.51,0.0492,0.054,0.0017
lt-l,Video2,8,61,0.0999,0.0661,0.2026,0.0231,10.01,0.047,0.051,0.0015
lt-l,Video2,9,61,0.1043,0.0652,0.1847,0.0231,9.58,0.0492,0.0533,0.0016
lt-l,Video2,10,61,0.1028,0.0671,0.1844,0.0205,9.72,0.0476,0.0535,0.0015
lt-l,Video2,11,61,0.1036,0.0763,0.2003,0.0209,9.66,0.0495,0.0522,0.0016
lt-l,Video2,12,61,0.1019,0.066,0.1937,0.0222,9.82,0.0492,0.0508,0.0016
lt-l,Video2,13,61,0.1019,0.0684,0.1851,0.0191,9.81,0.0493,0.0509,0.0015
lt-l,Video2,14,61,0.1056,0.0713,0.2477,0.0248,9.47,0.0508,0.0529,0.0016
lt-l,Video2,15,61,0.1019,0.0762,0.18,0.0187,9.82,0.048,0.0521,0.0016
lt-l,Video2,16,61,0.0993,0.0656,0.1929,0.0218,10.07,0.0479,0.0494,0.0016
lt-l,Video2,17,61,0.1178,0.0776,0.2161,0.0279,8.49,0.055,0.0605,0.002
lt-l,Video2,18,61,0.1006,0.0657,0.2041,0.0213,9.94,0.0472,0.0515,0.0016
lt-l,Video2,19,61,0.104,0.0737,0.1794,0.0242,9.61,0.0481,0.054,0.0016
lt-l,Video2,20,61,0.104,0.0682,0.2307,0.0242,9.62,0.0495,0.0525,0.0016
lt-l,Video2,21,61,0.1041,0.0765,0.2138,0.0239,9.6,0.0488,0.0532,0.0018
lt-l,Video2,22,61,0.1052,0.0695,0.2354,0.0278,9.5,0.0511,0.0523,0.0016
lt-l,Video2,23,61,0.1043,0.0648,0.1955,0.0221,9.58,0.0498,0.0526,0.0017
lt-l,Video2,24,61,0.1079,0.0712,0.2144,0.0251,9.27,0.0511,0.0547,0.0018
lt-l,Video2,25,61,0.1009,0.0762,0.1974,0.0208,9.91,0.0486,0.0504,0.0016
lt-l,Video2,26,61,0.1043,0.0626,0.1695,0.019,9.58,0.0508,0.0516,0.0017
lt-l,Video2,27,61,0.1039,0.07,0.3209,0.034,9.62,0.0496,0.0526,0.0015
lt-l,Video2,28,61,0.1025,0.0705,0.1974,0.0213,9.76,0.0481,0.0525,0.0016
lt-l,Video2,29,61,0.1003,0.0678,0.1921,0.0223,9.97,0.0478,0.0506,0.0016
