code,input,run,frame_count,avg_latency,min_latency,max_latency,std_latency,avg_fps,avg_det,avg_pose,avg_vis
lt-lm,Video1,1,74,0.578,0.4602,0.6867,0.0523,1.73,0.5383,0.0382,0.0013
lt-lm,Video1,2,74,0.6263,0.5727,0.8361,0.0405,1.6,0.5842,0.0405,0.0013
lt-lm,Video1,3,74,0.6319,0.5759,0.7741,0.0419,1.58,0.5878,0.0424,0.0014
lt-lm,Video1,4,74,0.6289,0.5711,0.7311,0.0333,1.59,0.5847,0.0426,0.0013
lt-lm,Video1,5,74,0.6288,0.5659,0.78,0.0384,1.59,0.5852,0.042,0.0014
lt-lm,Video1,6,74,0.6366,0.5789,0.7204,0.0315,1.57,0.5931,0.0418,0.0014
lt-lm,Video1,7,74,0.623,0.5746,0.7134,0.0286,1.61,0.5803,0.0411,0.0013
lt-lm,Video1,8,74,0.6201,0.5718,0.7125,0.0269,1.61,0.5775,0.041,0.0013
lt-lm,Video1,9,74,0.6226,0.5862,0.7973,0.0328,1.61,0.5795,0.0414,0.0014
lt-lm,Video1,10,74,0.623,0.5855,0.7891,0.0326,1.61,0.5796,0.0417,0.0014
lt-lm,Video1,11,74,0.6273,0.5815,0.6964,0.0286,1.59,0.5835,0.0421,0.0014
lt-lm,Video1,12,74,0.628,0.5735,0.8033,0.0336,1.59,0.5841,0.0423,0.0013
lt-lm,Video1,13,74,0.624,0.5791,0.7201,0.0252,1.6,0.5803,0.0419,0.0015
lt-lm,Video1,14,74,0.618,0.564,0.717,0.0278,1.62,0.5752,0.0412,0.0014
lt-lm,Video1,15,74,0.6085,0.5639,0.7454,0.0382,1.64,0.5666,0.0404,0.0013
lt-lm,Video1,16,74,0.621,0.5671,0.6907,0.0258,1.61,0.5784,0.041,0.0013
lt-lm,Video1,17,74,0.6226,0.57,0.8451,0.0422,1.61,0.5789,0.042,0.0014
lt-lm,Video1,18,74,0.6238,0.5721,0.7327,0.0303,1.6,0.581,0.0411,0.0014
