code,input,run,frame_count,avg_latency,min_latency,max_latency,std_latency,avg_fps
pc-i,Video1.mp4,1,74,0.0496,0.035,0.8222,0.0913,20.14
pc-i,Video1.mp4,2,74,0.0381,0.0346,0.0618,0.0034,26.26
pc-i,Video1.mp4,3,74,0.0386,0.0349,0.0561,0.003,25.93
pc-i,Video1.mp4,4,74,0.0386,0.0347,0.0548,0.0029,25.89
pc-i,Video1.mp4,5,74,0.0382,0.0346,0.0574,0.0035,26.18
pc-i,Video1.mp4,6,74,0.0395,0.0353,0.0679,0.0041,25.32
pc-i,Video1.mp4,7,74,0.0389,0.0345,0.0627,0.0033,25.69
pc-i,Video1.mp4,8,74,0.0386,0.0348,0.0572,0.0031,25.9
pc-i,Video1.mp4,9,74,0.0395,0.0349,0.0596,0.0034,25.35
pc-i,Video1.mp4,10,74,0.0389,0.035,0.0561,0.003,25.7
pc-i,Video1.mp4,11,74,0.0385,0.0349,0.0622,0.0036,25.96
pc-i,Video1.mp4,12,74,0.0392,0.0345,0.0603,0.0036,25.5
pc-i,Video1.mp4,13,74,0.0389,0.0348,0.0564,0.0032,25.68
pc-i,Video1.mp4,14,74,0.0397,0.0356,0.0637,0.0036,25.18
pc-i,Video1.mp4,15,74,0.0411,0.0356,0.0665,0.0043,24.34
pc-i,Video1.mp4,16,74,0.0402,0.0359,0.0695,0.0045,24.86
pc-i,Video1.mp4,17,74,0.0401,0.0352,0.0559,0.0035,24.94
pc-i,Video1.mp4,18,74,0.0403,0.0351,0.0569,0.0035,24.84
pc-i,Video1.mp4,19,74,0.0404,0.0364,0.0655,0.004,24.76
pc-i,Video1.mp4,20,74,0.0397,0.0355,0.0611,0.0036,25.21
pc-i,Video1.mp4,21,74,0.0404,0.0353,0.0706,0.005,24.75
pc-i,Video1.mp4,22,74,0.0407,0.0356,0.0594,0.004,24.57
pc-i,Video1.mp4,23,74,0.0402,0.0356,0.0623,0.0037,24.9
pc-i,Video1.mp4,24,74,0.0399,0.0355,0.0608,0.0039,25.07
pc-i,Video1.mp4,25,74,0.0395,0.0356,0.063,0.0036,25.32
pc-i,Video1.mp4,26,74,0.0397,0.0357,0.0603,0.0034,25.17
pc-i,Video1.mp4,27,74,0.0399,0.0361,0.0588,0.0033,25.08
pc-i,Video1.mp4,28,74,0.0404,0.0356,0.0653,0.0044,24.77
pc-i,Video1.mp4,29,74,0.0404,0.0363,0.0599,0.0037,24.73
pc-i,Video1.mp4,30,74,0.0407,0.0368,0.0678,0.0044,24.54
pc-i,Video2.mp4,1,61,0.0514,0.0377,0.475,0.0563,19.46
pc-i,Video2.mp4,2,61,0.0416,0.037,0.0616,0.0038,24.06
pc-i,Video2.mp4,3,61,0.0418,0.038,0.0633,0.0039,23.94
