code,input,run,frame_count,avg_latency,min_latency,max_latency,std_latency,avg_fps,avg_det,avg_pose,avg_vis
lt-l,Video1,1,74,0.0382,0.0274,0.4799,0.0526,26.16,0.0215,0.0156,0.0008
lt-l,Video1,2,74,0.0322,0.0279,0.0463,0.0035,31.08,0.018,0.0131,0.0008
lt-l,Video1,3,74,0.0323,0.0282,0.0473,0.0035,31.0,0.0178,0.0133,0.0007
lt-l,Video1,4,74,0.0321,0.027,0.0442,0.0034,31.13,0.0179,0.0131,0.0007
lt-l,Video1,5,74,0.0319,0.0277,0.0485,0.0039,31.3,0.0175,0.0134,0.0007
lt-l,Video1,6,74,0.0326,0.0276,0.0422,0.0033,30.72,0.0179,0.0136,0.0007
lt-l,Video1,7,74,0.0317,0.0279,0.043,0.0034,31.51,0.0177,0.0129,0.0007
lt-l,Video1,8,74,0.0316,0.0271,0.0447,0.0031,31.67,0.017,0.0134,0.0007
lt-l,Video1,9,74,0.0321,0.0284,0.0401,0.0026,31.18,0.0176,0.0134,0.0008
lt-l,Video1,10,74,0.0324,0.0273,0.042,0.0028,30.91,0.0178,0.0134,0.0007
lt-l,Video1,11,74,0.0321,0.0272,0.0434,0.0035,31.15,0.0175,0.0135,0.0007
lt-l,Video1,12,74,0.0334,0.0284,0.0448,0.0034,29.98,0.0184,0.0138,0.0008
lt-l,Video1,13,74,0.0357,0.0303,0.0502,0.0045,28.03,0.0196,0.0149,0.0008
lt-l,Video1,14,74,0.0351,0.0303,0.0434,0.0032,28.51,0.0194,0.0145,0.0008
lt-l,Video1,15,74,0.0355,0.0304,0.0466,0.0036,28.21,0.02,0.0143,0.0008
lt-l,Video1,16,74,0.0339,0.0295,0.0436,0.0029,29.49,0.0188,0.0139,0.0008
lt-l,Video1,17,74,0.0348,0.0292,0.0445,0.0037,28.73,0.0193,0.0144,0.0008
lt-l,Video1,18,74,0.0354,0.0291,0.0485,0.0038,28.27,0.0196,0.0146,0.0008
lt-l,Video1,19,74,0.035,0.0295,0.0465,0.0037,28.54,0.0194,0.0145,0.0008
lt-l,Video1,20,74,0.0355,0.0299,0.0518,0.004,28.19,0.0194,0.0149,0.0008
lt-l,Video1,21,74,0.0359,0.0305,0.0493,0.0036,27.88,0.0194,0.0152,0.0008
lt-l,Video1,22,74,0.0384,0.0308,0.0574,0.006,26.04,0.0215,0.0156,0.0008
lt-l,Video1,23,74,0.0361,0.0302,0.0508,0.004,27.68,0.0195,0.0153,0.0008
lt-l,Video1,24,74,0.036,0.0307,0.0512,0.0044,27.81,0.0195,0.0152,0.0008
