code,input,run,frame_count,avg_latency,min_latency,max_latency,std_latency,avg_fps,avg_det,avg_pose,avg_vis
pc-lm,Video1,1,74,0.0437,0.026,0.8582,0.0964,22.88,0.0266,0.016,0.0008
pc-lm,Video1,2,74,0.033,0.0274,0.0507,0.0043,30.28,0.0185,0.0134,0.0008
pc-lm,Video1,3,74,0.0323,0.0275,0.0534,0.0048,30.95,0.0179,0.0133,0.0007
pc-lm,Video1,4,74,0.0314,0.0268,0.0428,0.0033,31.85,0.0174,0.0129,0.0007
pc-lm,Video1,5,74,0.0319,0.0269,0.0432,0.0038,31.34,0.0175,0.0132,0.0007
pc-lm,Video1,6,74,0.0315,0.0263,0.0464,0.0036,31.78,0.0175,0.0129,0.0007
pc-lm,Video1,7,74,0.0323,0.0276,0.0625,0.0047,30.94,0.0179,0.0133,0.0007
pc-lm,Video1,8,74,0.0306,0.0273,0.0391,0.0022,32.64,0.0166,0.0129,0.0008
pc-lm,Video1,9,74,0.0315,0.0279,0.0491,0.0045,31.74,0.0176,0.0128,0.0007
pc-lm,Video1,10,74,0.032,0.0268,0.0545,0.0045,31.3,0.0176,0.0132,0.0007
pc-lm,Video1,11,74,0.0314,0.0276,0.0469,0.0036,31.89,0.0173,0.013,0.0007
pc-lm,Video1,12,74,0.0312,0.0277,0.0385,0.002,32.04,0.0171,0.013,0.0007
pc-lm,Video1,13,74,0.0315,0.0265,0.0413,0.0031,31.75,0.0174,0.0129,0.0007
pc-lm,Video1,14,74,0.0332,0.0288,0.0439,0.0029,30.14,0.0182,0.0138,0.0008
pc-lm,Video1,15,74,0.038,0.0311,0.0492,0.0037,26.34,0.0213,0.0154,0.0008
pc-lm,Video1,16,74,0.0409,0.031,0.0597,0.0064,24.43,0.0227,0.0169,0.0008
pc-lm,Video1,17,74,0.0377,0.0315,0.0535,0.0045,26.54,0.0204,0.016,0.0008
pc-lm,Video1,18,74,0.0389,0.0323,0.0667,0.0065,25.73,0.0216,0.016,0.0008
pc-lm,Video1,19,74,0.0349,0.0281,0.0568,0.0047,28.62,0.0193,0.0145,0.0008
pc-lm,Video1,20,74,0.0344,0.0293,0.047,0.0035,29.09,0.0189,0.0143,0.0008
pc-lm,Video1,21,74,0.0354,0.0304,0.0543,0.0038,28.28,0.0197,0.0144,0.0008
pc-lm,Video1,22,74,0.0344,0.0286,0.0427,0.0032,29.1,0.0188,0.0144,0.0008
pc-lm,Video1,23,74,0.034,0.0287,0.0504,0.0039,29.45,0.0186,0.0142,0.0008
pc-lm,Video1,24,74,0.0336,0.0287,0.0426,0.0035,29.76,0.0184,0.014,0.0008
pc-lm,Video1,25,74,0.0337,0.0294,0.0457,0.0035,29.69,0.0184,0.0141,0.0008
pc-lm,Video1,26,74,0.0343,0.0288,0.0438,0.0032,29.13,0.019,0.0142,0.0008
pc-lm,Video1,27,74,0.0343,0.0286,0.0498,0.0035,29.14,0.0189,0.0142,0.0008
pc-lm,Video1,28,74,0.0336,0.0286,0.0433,0.0034,29.76,0.0184,0.014,0.0008
pc-lm,Video1,29,74,0.0346,0.028,0.0439,0.0035,28.94,0.0194,0.014,0.0008
pc-lm,Video1,30,74,0.033,0.0292,0.042,0.0025,30.31,0.0181,0.0137,0.0008
pc-lm,Video2,1,61,0.0404,0.0271,0.4639,0.056,24.72,0.0219,0.0173,0.0009
pc-lm,Video2,2,61,0.0337,0.0271,0.045,0.0043,29.69,0.0183,0.0141,0.0009
pc-lm,Video2,3,61,0.0323,0.0269,0.0494,0.0035,31.0,0.0176,0.0134,0.0009
pc-lm,Video2,4,61,0.0329,0.028,0.0423,0.0035,30.38,0.0175,0.0142,0.0009
pc-lm,Video2,5,61,0.0321,0.027,0.0413,0.0028,31.18,0.0172,0.0136,0.0009
pc-lm,Video2,6,61,0.032,0.0272,0.04,0.0029,31.25,0.0172,0.0135,0.0009
pc-lm,Video2,7,61,0.0332,0.0285,0.0422,0.0034,30.08,0.0177,0.0142,0.0009
pc-lm,Video2,8,61,0.0333,0.0272,0.0512,0.0041,29.99,0.0176,0.0145,0.0009
pc-lm,Video2,9,61,0.033,0.0273,0.0469,0.0034,30.31,0.0179,0.0137,0.0009
pc-lm,Video2,10,61,0.0331,0.0284,0.0446,0.0037,30.21,0.0179,0.0138,0.0009
pc-lm,Video2,11,61,0.0325,0.0277,0.046,0.0034,30.75,0.0176,0.0136,0.0009
pc-lm,Video2,12,61,0.0335,0.0295,0.0434,0.0027,29.84,0.018,0.0142,0.0009
pc-lm,Video2,13,61,0.0346,0.0294,0.0531,0.0042,28.89,0.0185,0.0147,0.0009
pc-lm,Video2,14,61,0.0345,0.0292,0.0447,0.0036,28.99,0.0186,0.0146,0.001
pc-lm,Video2,15,61,0.0343,0.028,0.0488,0.0038,29.15,0.0185,0.0145,0.0009
pc-lm,Video2,16,61,0.0338,0.0285,0.0451,0.0034,29.6,0.0182,0.0142,0.0009
pc-lm,Video2,17,61,0.0348,0.0303,0.0463,0.0034,28.73,0.0187,0.0147,0.0009
pc-lm,Video2,18,61,0.0354,0.0294,0.0606,0.0048,28.25,0.0188,0.0152,0.0009
pc-lm,Video2,19,61,0.0352,0.0302,0.0462,0.0038,28.41,0.0187,0.0151,0.0009
pc-lm,Video2,20,61,0.0347,0.0285,0.0597,0.0047,28.83,0.0184,0.0149,0.0009
pc-lm,Video2,21,61,0.0353,0.0292,0.0515,0.0043,28.34,0.0191,0.0148,0.0009
pc-lm,Video2,22,61,0.0349,0.0297,0.0468,0.0041,28.63,0.0186,0.0149,0.0009
pc-lm,Video2,23,61,0.0361,0.0293,0.0485,0.0045,27.73,0.0194,0.0154,0.0009
pc-lm,Video2,24,61,0.0341,0.03,0.0504,0.0039,29.29,0.0181,0.0146,0.0009
pc-lm,Video2,25,61,0.0346,0.0294,0.0479,0.0036,28.94,0.0187,0.0146,0.001
pc-lm,Video2,26,61,0.0359,0.0293,0.0493,0.0045,27.87,0.0192,0.0153,0.001
pc-lm,Video2,27,61,0.0364,0.0286,0.0546,0.0051,27.5,0.0196,0.0155,0.0009
pc-lm,Video2,28,61,0.0363,0.029,0.0458,0.004,27.58,0.0195,0.0154,0.0009
pc-lm,Video2,29,61,0.0358,0.0301,0.0461,0.0038,27.93,0.0192,0.0152,0.0009
pc-lm,Video2,30,61,0.0361,0.0303,0.0547,0.0043,27.68,0.0195,0.0152,0.0009
pc-lm,Video3,1,97,0.0359,0.0267,0.4595,0.0441,27.87,0.0196,0.015,0.0009
pc-lm,Video3,2,97,0.0318,0.0269,0.0428,0.0032,31.4,0.0173,0.0133,0.001
pc-lm,Video3,3,97,0.0317,0.0265,0.042,0.0033,31.59,0.0167,0.0137,0.0009
pc-lm,Video3,4,97,0.0315,0.0269,0.0454,0.0036,31.73,0.0168,0.0135,0.0009
pc-lm,Video3,5,97,0.0314,0.0269,0.0432,0.0031,31.84,0.0169,0.0132,0.0009
pc-lm,Video3,6,97,0.0315,0.0282,0.0405,0.0024,31.76,0.0169,0.0133,0.0009
pc-lm,Video3,7,97,0.0328,0.0276,0.0469,0.0041,30.49,0.0174,0.0141,0.0009
pc-lm,Video3,8,97,0.0326,0.0284,0.0478,0.0038,30.72,0.0175,0.0137,0.001
pc-lm,Video3,9,97,0.0348,0.0297,0.0458,0.0034,28.76,0.0186,0.0147,0.001
pc-lm,Video3,10,97,0.0344,0.0299,0.0566,0.0036,29.03,0.0185,0.0146,0.001
pc-lm,Video3,11,97,0.036,0.03,0.048,0.0039,27.77,0.0193,0.0153,0.001
pc-lm,Video3,12,97,0.0369,0.0288,0.0463,0.0042,27.08,0.0194,0.0161,0.001
pc-lm,Video3,13,97,0.0352,0.0292,0.0435,0.0032,28.44,0.0191,0.0147,0.001
pc-lm,Video3,14,97,0.0341,0.0287,0.0462,0.0037,29.36,0.0182,0.0144,0.001
pc-lm,Video3,15,97,0.0333,0.0277,0.0542,0.0042,29.99,0.0178,0.0142,0.001
pc-lm,Video3,16,97,0.0336,0.0292,0.0482,0.0029,29.78,0.0179,0.0142,0.001
pc-lm,Video3,17,97,0.0339,0.0293,0.0439,0.0028,29.5,0.0182,0.0143,0.001
pc-lm,Video3,18,97,0.0342,0.0291,0.0543,0.0043,29.26,0.0182,0.0146,0.001
pc-lm,Video3,19,97,0.0355,0.0294,0.0517,0.0042,28.14,0.019,0.0151,0.001
pc-lm,Video3,20,97,0.0358,0.0307,0.0502,0.0039,27.96,0.0194,0.0149,0.001
pc-lm,Video3,21,97,0.0348,0.0297,0.0481,0.0033,28.77,0.019,0.0144,0.001
pc-lm,Video3,22,97,0.0344,0.0294,0.044,0.0033,29.07,0.0186,0.0144,0.001
pc-lm,Video3,23,97,0.0354,0.0302,0.0459,0.0037,28.25,0.0187,0.0152,0.001
pc-lm,Video3,24,97,0.0373,0.0303,0.0602,0.0048,26.83,0.0199,0.016,0.001
pc-lm,Video3,25,97,0.0356,0.0295,0.049,0.0039,28.07,0.019,0.0152,0.001
pc-lm,Video3,26,97,0.0357,0.0295,0.0473,0.0038,28.03,0.0191,0.0152,0.001
pc-lm,Video3,27,97,0.0346,0.0291,0.0512,0.0038,28.89,0.0188,0.0145,0.001
pc-lm,Video3,28,97,0.0354,0.0292,0.0491,0.004,28.24,0.0185,0.0154,0.001
pc-lm,Video3,29,97,0.035,0.0294,0.0457,0.0034,28.61,0.0183,0.0152,0.001
pc-lm,Video3,30,97,0.0341,0.0286,0.0513,0.0035,29.31,0.018,0.0147,0.001
pc-lm,Bild1,1,1,0.4685,0.4685,0.4685,0,2.13,0.317,0.1468,0.0039
pc-lm,Bild1,2,1,0.0416,0.0416,0.0416,0,24.05,0.022,0.0146,0.0039
pc-lm,Bild1,3,1,0.0418,0.0418,0.0418,0,23.9,0.0201,0.0172,0.0039
pc-lm,Bild1,4,1,0.0404,0.0404,0.0404,0,24.73,0.0204,0.017,0.0023
pc-lm,Bild1,5,1,0.0334,0.0334,0.0334,0,29.9,0.0195,0.0116,0.0017
pc-lm,Bild1,6,1,0.0459,0.0459,0.0459,0,21.78,0.0237,0.0156,0.0058
pc-lm,Bild1,7,1,0.0427,0.0427,0.0427,0,23.4,0.0217,0.0183,0.002
pc-lm,Bild1,8,1,0.0406,0.0406,0.0406,0,24.65,0.0195,0.0183,0.0021
pc-lm,Bild1,9,1,0.0489,0.0489,0.0489,0,20.47,0.0242,0.0219,0.0019
pc-lm,Bild1,10,1,0.0472,0.0472,0.0472,0,21.18,0.0273,0.0172,0.0019
pc-lm,Bild1,11,1,0.0379,0.0379,0.0379,0,26.37,0.0216,0.014,0.0017
pc-lm,Bild1,12,1,0.0383,0.0383,0.0383,0,26.08,0.0207,0.0147,0.0022
pc-lm,Bild1,13,1,0.0356,0.0356,0.0356,0,28.1,0.02,0.0129,0.0019
pc-lm,Bild1,14,1,0.039,0.039,0.039,0,25.62,0.02,0.0163,0.002
pc-lm,Bild1,15,1,0.0356,0.0356,0.0356,0,28.07,0.022,0.0111,0.0018
pc-lm,Bild1,16,1,0.0394,0.0394,0.0394,0,25.41,0.0198,0.0169,0.002
pc-lm,Bild1,17,1,0.0344,0.0344,0.0344,0,29.05,0.019,0.0128,0.0018
pc-lm,Bild1,18,1,0.0354,0.0354,0.0354,0,28.29,0.0192,0.0136,0.0019
pc-lm,Bild1,19,1,0.0351,0.0351,0.0351,0,28.51,0.0206,0.0118,0.0019
pc-lm,Bild1,20,1,0.0358,0.0358,0.0358,0,27.92,0.0191,0.0139,0.0018
pc-lm,Bild1,21,1,0.0373,0.0373,0.0373,0,26.77,0.0201,0.0148,0.0018
pc-lm,Bild1,22,1,0.0374,0.0374,0.0374,0,26.74,0.0204,0.0148,0.0016
pc-lm,Bild1,23,1,0.0371,0.0371,0.0371,0,26.92,0.0206,0.0142,0.0017
pc-lm,Bild1,24,1,0.0333,0.0333,0.0333,0,30.0,0.0177,0.0132,0.0018
pc-lm,Bild1,25,1,0.0428,0.0428,0.0428,0,23.38,0.0229,0.0171,0.002
pc-lm,Bild1,26,1,0.0416,0.0416,0.0416,0,24.02,0.0239,0.0153,0.0017
pc-lm,Bild1,27,1,0.0407,0.0407,0.0407,0,24.58,0.021,0.0172,0.0018
pc-lm,Bild1,28,1,0.0379,0.0379,0.0379,0,26.41,0.0199,0.0153,0.0019
pc-lm,Bild1,29,1,0.0338,0.0338,0.0338,0,29.57,0.0188,0.0127,0.0017
pc-lm,Bild1,30,1,0.0376,0.0376,0.0376,0,26.61,0.02,0.0152,0.0018
pc-lm,Bild2,1,1,0.4813,0.4813,0.4813,0,2.08,0.3201,0.1518,0.0084
pc-lm,Bild2,2,1,0.0525,0.0525,0.0525,0,19.04,0.0266,0.0172,0.0066
pc-lm,Bild2,3,1,0.0491,0.0491,0.0491,0,20.37,0.0255,0.0181,0.004
